Bjorn,5047391472,201058787,1,2,2,5,0.72727275,199,32,0,0,2,8,4,0,13.9470215,13.43,0
Healthy Snacks,5047391472,14099232,3,2,2,6,0.54545456,273,111,1,0,0,0,2,0,1.5029299,7.92,0
Clueless,5047391472,73946724,0,2,3,7,0.6363636,417,253,2,0,1,1,1,0,17.559814,10.11,-1.78
cARN-,5047391472,173067337,2,2,4,6,0.45454547,581,433,2,0,0,0,2,0,2.0067382,10.68,0
Flagon,5047391472,17462153,4,2,0,9,0.6363636,182,31,0,0,14,2,0,0,0,9.09,0
JonSquid,5047391472,81625477,0,2,9,3,0.5151515,598,245,5,1,0,0,9,0,43.747143,21.29,0
madrugada,5047391472,87042598,1,2,3,2,0.6060606,325,63,0,0,3,0,10,0,2.9433594,10.79,0
Walrus,5047391472,201718160,2,2,8,2,0.57575756,742,375,4,1,0,1,2,0,47.24309,20.13,0
Phantasmal,5047327584,24848117,1,2,7,3,0.5714286,397,187,2,0,1,0,6,0,60.61914,17.11,0
Ridin' heelies,5047327584,84060273,4,2,8,14,0.6785714,276,42,0,0,0,0,0,0,25.838623,9.31,0
TenbuHorin10,5047327584,45579011,3,2,4,5,0.39285713,473,268,1,0,0,1,1,0,0,8.91,0
aeos,5047327584,64969428,0,2,4,6,0.6785714,257,59,1,0,13,0,7,0,119.4563,26.03,4.34
doofgod,5047327584,41319577,2,2,5,5,0.6785714,291,111,0,0,0,0,1,0,105.17149,16.2,0
TheMantis,5047327584,111747192,0,2,7,4,0.8181818,493,180,3,1,0,3,7,0,0,20.84,3.47
Gypsy King,5047327584,87431994,1,2,11,2,0.75757575,604,242,2,0,0,0,5,0,69.46493,20.18,0
Vuvuzela ,5047327584,65495278,2,2,6,11,0.57575756,314,41,0,1,16,1,7,1,0,17.23,0
Jimmy Pesto,5047327584,110119494,4,2,1,8,0.6060606,553,258,2,0,0,0,3,0,0,9.76,0
Danny,5047327584,64908677,3,2,7,4,0.54545456,316,45,1,0,0,0,5,0,3.411621,10.5,0
aeos,5047366948,64969428,0,2,0,8,0.3,226,47,0,0,5,1,2,0,11.729004,8.13,1.35
TenbuHorin10,5047366948,45579011,3,2,3,9,0.6,310,120,0,0,0,0,1,0,24.943848,8.65,0
Phantasmal,5047366948,24848117,1,2,3,5,0.4,305,95,0,0,1,0,1,0,56.415527,10.73,0
Ridin' heelies,5047366948,84060273,4,2,0,6,0.8,202,27,0,0,1,1,1,0,49.47464,11.25,0
doofgod,5047366948,41319577,2,2,3,5,0.3,299,88,1,0,0,0,1,0,24.01294,8.56,0
TheMantis,5047366948,111747192,0,2,4,1,0.57575756,479,132,0,0,0,0,1,0,0,10.24,1.71
Gypsy King,5047366948,87431994,1,2,14,2,0.8787879,594,149,0,0,1,0,9,0,10.812031,16.19,0
Vuvuzela ,5047366948,65495278,2,2,5,1,0.6969697,364,32,0,0,11,0,3,1,9.942896,16.35,0
Danny,5047366948,64908677,3,2,5,3,0.4848485,301,28,0,0,1,0,9,0,0,9.61,0
Jimmy Pesto,5047366948,110119494,4,2,4,3,0.42424244,571,176,5,0,0,0,2,0,0,13.04,0
Clare x Teresa,5047373174,102264839,0,2,10,5,0.68421054,368,128,2,0,0,1,5,1,54.196262,23.77,2.16
MidOrChen,5047373174,96634411,1,2,3,3,0.68421054,447,299,5,0,0,0,6,0,46.514206,18.65,0
FlockaMacaaw,5047373174,130772801,2,2,5,1,0.5263158,648,401,2,0,0,3,6,0,8.761572,15.14,0
Pearberr,5047373174,81110788,4,2,2,10,0.55263156,235,53,0,0,19,1,4,0,34.506298,13.38,0
ButteryGreg,5047373174,47669091,3,2,17,2,0.7368421,567,355,0,0,0,2,8,0,25.235638,18.58,0
Predict,5047373174,45285344,2,2,4,8,0.6666667,286,106,1,0,0,0,12,0,35.836147,13.91,0
Polo5885,5047373174,109428465,0,2,10,5,0.71428573,519,330,2,0,0,1,2,0,0,12.46,-1.38
NO!,5047373174,126042590,1,2,2,4,0.5714286,576,359,0,0,1,3,4,0,0,10.79,0
gotham,5047373174,2735264,4,2,5,8,0.6666667,311,78,0,1,5,4,7,0,96.569,20.48,0
DoomCow33,5047327574,172199571,0,2,3,1,0.20512821,611,368,4,1,0,0,3,0,11.362354,15.07,1.37
Joric,5047327574,82626476,1,2,10,2,0.61538464,605,294,3,0,0,0,14,0,35.448242,20.03,0
Halfcast,5047327574,314264248,2,2,15,6,0.6666667,541,185,1,0,0,0,0,0,0,12.57,0
Zoompa,5047327574,57011991,3,2,7,3,0.5897436,340,68,0,0,0,0,12,0,44.196594,14.8,0
Dolly,5047327574,83648784,4,2,4,5,0.25641027,304,37,0,0,16,2,4,0,41.796505,13.79,0
skaterx7,5047327574,89687880,0,2,4,2,0.5882353,580,313,0,0,1,8,3,0,3.511963,12.74,-1.42
CooKiE,5047327574,15272213,1,2,3,8,0.5882353,323,60,0,0,1,1,1,0,23.308228,9.17,0
Panda,5047327574,96421460,2,2,0,13,0.5294118,378,214,0,0,0,0,2,0,0,5.6,0
FatMan,5047327574,213379961,4,2,3,8,0.5882353,306,140,0,0,0,3,5,0,30.283272,11.69,0
Narté-,5047327574,33840077,3,2,4,8,0.64705884,224,45,0,0,15,1,0,1,28.429688,16.45,0
DoomCow33,5047371681,172199571,0,2,6,3,0.5641026,774,757,3,0,0,1,7,0,38.89121,21.07,1.92
Joric,5047371681,82626476,1,2,10,7,0.64102566,760,431,3,0,0,1,3,0,43.03882,18.45,0
Halfcast,5047371681,314264248,2,2,9,9,0.74358976,440,268,1,0,0,0,3,0,44.15178,14.81,0
Zoompa,5047371681,57011991,3,2,5,10,0.6666667,364,50,0,0,0,1,3,0,60.904785,13.03,0
Dolly,5047371681,83648784,4,2,8,13,0.64102566,341,51,0,0,24,2,4,0,57.503784,18.6,0
skaterx7,5047371681,89687880,0,2,23,3,0.8333333,586,179,0,0,1,0,28,0,73.50244,25.23,-2.8
CooKiE,5047371681,15272213,1,2,5,9,0.61904764,658,536,8,2,1,0,1,0,12.561279,20.56,0
Panda,5047371681,96421460,2,2,3,11,0.3809524,597,436,1,0,0,0,8,0,145.17085,20.54,0
FatMan,5047371681,213379961,4,2,2,8,0.6666667,292,54,0,0,4,3,12,0,77.7317,17.61,0
Narté-,5047371681,33840077,3,2,7,8,0.6666667,410,71,0,0,19,0,6,0,50.096558,17.32,0
bsvhsvj,5047333315,67739802,0,2,5,12,0.71428573,395,310,1,0,0,0,4,0,0,11.99,2
anbokr,5047333315,26595816,1,2,16,3,0.78571427,925,891,7,1,0,1,10,0,0,26.8,0
Freakinchair,5047333315,36849696,3,2,6,9,0.6785714,411,278,1,1,0,0,2,0,36.411865,13.73,0
AwfulWaffLE,5047333315,64041417,2,2,1,12,0.60714287,290,153,0,0,0,1,14,0,99.73521,17.05,0
Trishula,5047333315,241251731,4,2,0,11,0.53571427,318,97,0,0,24,5,3,0,60.878418,17.57,0
BoX,5047333315,108843799,0,2,9,1,0.80851066,613,458,0,0,0,0,18,0,66.02499,19.48,-2.16
Gracious Papi,5047333315,135654550,2,2,16,4,0.70212764,741,648,4,1,0,2,5,1,102.14683,33.05,0
Free Lunch,5047333315,42875801,3,2,5,7,0.61702126,290,111,1,0,0,3,7,0,72.79013,17.16,0
Lilith,5047333315,69243302,1,2,14,8,0.78723407,469,262,2,0,0,0,11,0,68.11941,21.52,0
Blakkout,5047333315,9979778,4,2,3,8,0.5319149,335,116,0,0,26,3,6,0,54.898224,18.69,0
bsvhsvj,5047396246,67739802,0,2,0,4,0.5,253,94,0,0,1,2,2,0,24.606054,11.08,1.85
Freakinchair,5047396246,36849696,3,2,3,10,1,323,124,0,0,0,1,1,0,22.945068,10.89,0
AwfulWaffLE,5047396246,64041417,2,2,0,8,0.5,160,22,0,0,0,2,4,0,0,6.69,0
Trishula,5047396246,241251731,4,2,0,11,1,152,11,0,0,11,1,0,0,0,9.39,0
anbokr,5047396246,26595816,1,2,1,4,0.5,428,206,0,0,0,1,0,0,9.075439,7.85,0
BoX,5047396246,108843799,0,2,8,0,0.5833333,452,140,1,1,0,1,13,0,49.365234,17.18,-1.91
Gracious Papi,5047396246,135654550,2,2,7,1,0.6944444,544,182,1,0,0,1,5,0,0,12.81,0
Free Lunch,5047396246,42875801,3,2,8,2,0.75,357,33,0,1,0,0,6,1,36.387695,18.89,0
